wavelength,n
0.0509694,0.743997324548
0.0510869,0.743178093765
0.0512047,0.741499921461
0.0513227,0.740176181202
0.0514411,0.73827384105
0.0515596,0.737294402923
0.0516785,0.736184871464
0.0517976,0.734437948792
0.051917,0.733179752494
0.0520367,0.732099197302
0.0521567,0.730123324577
0.0522769,0.728639361068
0.0523974,0.72704655561
0.0525182,0.726083760064
0.0526393,0.724170158274
0.0527606,0.722656826206
0.0528822,0.721138738662
0.0530042,0.719602816536
0.0531263,0.718306073714
0.0532488,0.716743654756
0.0533716,0.715425522413
0.0534946,0.71383275394
0.0536179,0.712093069564
0.0537415,0.710283380425
0.0538654,0.709282936386
0.0539896,0.707240426733
0.054114,0.70575390556
0.0542388,0.704044309368
0.0543638,0.702552960694
0.0544891,0.70100923775
0.0546147,0.699540640069
0.0547406,0.697618929984
0.0548668,0.69602459192
0.0549933,0.694624676781
0.0551201,0.692431160777
0.0552471,0.691018515195
0.0553745,0.689200989794
0.0555022,0.687455206346
0.0556301,0.685697635601
0.0557583,0.684140306132
0.0558869,0.682732610489
0.0560157,0.680336805793
0.0561448,0.678974274523
0.0562743,0.677373011077
0.056404,0.675485401446
0.056534,0.673269787594
0.0566643,0.671746935176
0.056795,0.669871448785
0.0569259,0.668008931941
0.0570571,0.665887893893
0.0571887,0.664476304842
0.0573205,0.662215129701
0.0574526,0.659938335868
0.0575851,0.658643850055
0.0577178,0.656454905832
0.0578509,0.654478322337
0.0579842,0.652544106958
0.0581179,0.650525773963
0.0582519,0.648040840912
0.0583862,0.646693961428
0.0585207,0.644234578265
0.0586557,0.642542831575
0.0587909,0.640004100911
0.0589264,0.638039870918
0.0590622,0.636209321746
0.0591984,0.633609639006
0.0593349,0.631512784702
0.0594716,0.629451710406
0.0596087,0.627308996177
0.0597461,0.62517399712
0.0598839,0.623022660978
0.0600219,0.620678756393
0.0601603,0.618281033048
0.060299,0.615780817069
0.060438,0.613749058215
0.0605773,0.611073995326
0.0607169,0.608837149235
0.0608569,0.606402443131
0.0609972,0.604013877384
0.0611378,0.601596677499
0.0612787,0.599096132554
0.06142,0.596732541915
0.0615616,0.593968176658
0.0617035,0.591151667294
0.0618458,0.588845449185
0.0619883,0.58607109603
0.0621312,0.583339565393
0.0622744,0.580491136838
0.062418,0.577774467044
